,customer_code,age,customer_seniority,income,gender,customer_status,Cluster_Lables
80,482124,49,132,70297.95,F,0,1
81,482139,45,132,46329.33,M,1,1
82,482135,83,132,172000.77,M,0,1
83,482134,46,132,194086.35,M,1,1
84,1194895,24,21,106193.46,F,1,0
85,482184,39,132,34150.47,F,1,1
86,482265,42,132,230980.65,F,1,1
87,988840,36,43,62177.88,M,1,0
88,482280,31,132,195192.09,M,1,1
89,485955,31,131,100030.77,M,1,1
90,486052,39,61,195700.65,M,1,1
91,486016,50,131,196144.32,F,0,1
92,1372553,49,7,92216.58,M,1,0
93,1272554,20,12,101418.21,M,1,0
94,486103,69,131,321780.09,M,1,1
95,485981,54,131,202947.96,M,1,1
96,747096,40,89,295117.23,M,0,-1
97,1063120,24,34,76709.31,F,1,0
98,1165069,24,23,112299.24,F,0,0
99,953314,23,45,100030.77,F,0,0
100,485973,42,131,409624.41,M,1,1
101,485968,41,97,298200.48,F,1,1
102,1022869,23,36,100030.77,F,1,0
103,1191100,25,21,122866.92,M,1,0
104,485964,46,131,150441.18,M,1,1
105,485961,45,131,182871.9,F,0,1
106,1191716,22,21,116741.37,M,1,0
107,897849,47,56,38656.29,M,0,-1
108,278690,51,165,139567.38,M,1,-1
109,897990,54,56,155306.07,F,0,-1
110,1191704,21,21,100030.77,M,1,0
111,1366485,35,7,162765.42,M,1,0
112,1190019,22,21,72988.98,M,0,0
113,476814,49,134,92724.66,M,1,1
114,1031984,22,36,76708.62,F,1,0
115,1032263,23,36,32506.05,M,0,0
116,154582,56,70,39794.13,M,1,-1
117,1030995,23,36,122697.15,M,1,0
118,486562,56,131,193589.88,M,1,1
119,486511,51,131,100030.77,M,0,1
120,1031016,23,36,48552.42,F,0,0
121,486531,42,131,96507.21,M,1,1
122,486509,39,10,74156.46,M,1,1
123,349867,58,159,70153.47,M,1,-1
124,1031004,23,36,88527.15,F,0,0
125,486517,40,98,79473.18,M,1,1
126,486516,45,178,100030.77,M,0,1
127,486515,33,131,86515.59,F,1,1
128,1062528,24,34,68350.53,F,0,0
129,1191707,25,21,49670.01,F,0,0
130,1272635,21,12,37670.28,F,0,0
131,485958,59,131,132059.82,M,1,1
132,829516,32,78,84928.98,M,1,0
133,1023075,23,36,89534.58,F,0,0
134,1023120,35,36,81660.81,F,1,0
135,485326,43,132,241330.5,M,0,1
136,485375,59,132,199768.2,M,1,1
137,482256,41,132,50516.55,M,1,1
138,482237,30,75,338871.96,M,0,1
139,482236,85,132,237581.19,F,0,1
140,482222,43,132,231265.74,F,0,1
141,486088,43,131,123541.08,M,1,1
142,1046617,28,35,85562.28,M,0,0
143,1023093,23,36,115157.61,F,0,0
144,479947,57,133,244532.04,M,1,1
145,1272316,20,12,147686.25,F,0,0
146,482216,68,132,173776.83,M,1,1
147,482210,30,132,173967.3,M,1,1
148,1191080,29,21,191178.15,F,0,0
149,897915,60,56,69803.28,M,1,0
150,482281,40,132,182665.2,M,1,1
151,988836,48,43,105536.85,M,1,0
152,1022091,70,36,123750.72,F,1,0
153,486091,66,129,333887.22,F,1,1
154,1022779,34,36,69072.69,M,1,0
155,486070,41,131,96789.06,M,1,1
156,476908,46,134,111514.83,M,1,1
157,486073,58,131,78725.49,M,0,1
158,486074,69,128,100030.77,M,1,1
159,486025,42,131,87755.46,M,0,1
160,486048,58,131,318206.82,M,1,1
161,486037,46,131,96093.3,M,0,1
162,747155,68,89,34839.06,F,0,1
163,486032,46,110,129198.78,F,1,1
164,486031,76,131,110237.07,F,1,1
165,486027,48,52,100030.77,M,1,1
166,486084,39,131,56101.26,F,1,1
167,1022759,35,36,78128.07,M,1,0
168,486021,47,131,132168.54,M,1,1
169,486058,67,131,181042.2,F,1,1
170,486066,54,131,338329.83,F,0,1
171,1183932,27,22,81803.88,M,0,0
172,1022795,35,36,45735.33,F,1,0
173,486098,49,131,58933.35,F,1,1
174,482523,55,132,266688.42,F,1,1
175,482520,83,132,50671.86,F,1,1
176,482515,77,132,259138.47,F,0,1
177,482511,44,132,204267.36,M,1,1
178,485841,50,131,88592.07,M,0,1
179,485838,41,131,99098.1,F,0,1
180,1194855,22,21,120211.95,M,0,0
181,476682,89,134,246249.81,F,0,1
182,1020593,45,37,55334.94,F,0,0
183,485767,43,132,82602.81,M,0,1
184,485909,39,131,141286.41,M,1,1
185,485927,48,131,179938.35,M,1,1
186,170727,59,184,98119.98,M,0,-1
187,485923,62,131,67127.7,M,1,1
188,687044,42,97,87434.55,M,1,1
189,485856,86,131,116495.37,M,0,1
190,1058787,24,34,100030.77,M,1,0
191,152022,58,113,114750.18,F,0,-1
192,485907,56,131,250189.74,F,1,1
193,1194881,40,21,132303.21,M,0,0
194,476771,47,134,92724.66,M,1,1
195,751355,57,89,139846.35,M,0,1
196,485921,42,131,164454.99,M,0,1
197,337787,45,160,136134.45,F,1,-1
198,485844,86,13,149089.26,F,0,1
199,485811,38,132,373566.06,M,1,1
200,542882,46,120,85578.87,F,1,1
201,485803,54,132,245628.48,M,0,1
202,485789,69,125,233888.67,M,1,1
203,313858,87,162,54057.21,F,0,-1
204,485788,39,132,233888.67,M,1,1
205,1194870,28,21,251851.83,M,0,-1
206,1194873,22,21,100030.77,F,0,0
207,485777,63,132,53651.4,F,1,1
208,476725,30,134,36093.6,F,1,1
209,485773,47,132,462771.78,M,0,-1
210,476456,41,134,154140.6,M,1,1
211,152237,64,187,60069.03,M,1,-1
212,1038206,26,35,192422.61,F,1,0
213,485810,65,132,104461.47,M,1,1
214,988869,31,43,89455.71,F,0,0
215,988866,30,43,74681.19,F,0,0
216,732506,54,92,94115.61,F,0,1
217,988854,37,43,89213.37,F,0,0
218,476740,39,134,139771.74,M,1,1
219,1194863,24,21,100030.77,M,0,0
220,1346443,38,9,85029.66,F,1,0
221,173125,42,183,63497.79,M,0,-1
222,485407,40,132,201335.19,F,1,1
223,485405,42,3,109380.39,M,1,1
224,485386,37,104,172716.63,M,0,1
225,33359,57,233,151241.43,M,0,-1
226,485382,37,132,500044.23,F,1,-1
227,1313040,32,10,144856.62,F,0,0
228,485376,46,132,116929.08,F,0,1
229,152561,60,187,99432.75,M,0,-1
230,1194981,24,21,47814.69,F,1,0
231,485332,32,132,189962.34,M,0,1
232,1088726,30,33,100030.77,M,0,0
233,485340,40,132,151623.09,F,0,1
234,231328,61,172,54810.09,M,0,-1
235,485814,41,131,74681.97,M,1,1
236,485835,43,131,136728.33,M,0,1
237,485828,42,132,150702.75,M,1,1
238,485821,40,131,187027.71,M,1,1
239,485816,46,132,171932.7,M,1,1
240,988883,24,43,99634.98,F,0,0
241,173048,65,183,58214.64,M,1,-1
242,611567,39,110,100030.77,M,1,1
243,988876,42,43,72988.98,F,0,0
244,476743,62,134,198900.6,M,0,1
245,152023,59,97,74035.65,M,0,-1
246,1191069,22,21,72647.97,M,1,0
247,1194964,29,21,63074.46,F,0,0
248,485906,85,130,91967.13,M,0,1
249,485836,37,131,233888.67,M,0,1
250,1314023,21,10,80055.84,F,0,0
251,988859,37,43,107609.13,F,0,0
252,1074653,24,33,109627.35,M,1,0
253,171858,48,183,66581.13,M,1,-1
254,485691,23,132,142801.56,M,1,1
255,341998,58,160,160557.51,M,1,-1
256,485330,36,132,153744.63,F,0,1
257,1038077,23,35,123760.65,F,0,0
258,485327,66,132,120679.59,M,1,1
259,1046668,23,35,100030.77,F,0,0
260,1063097,23,34,41523.06,F,1,0
261,485374,56,132,136318.17,F,1,1
262,1058712,28,34,100030.77,M,0,0
263,988846,23,43,111097.74,F,0,0
264,1063124,23,34,100030.77,F,1,0
265,988848,32,43,106111.59,F,0,0
266,1036528,23,36,111590.7,M,0,0
267,482466,65,132,90748.56,M,1,1
268,1077623,23,33,67968.51,M,1,0
269,1191290,21,21,101867.58,M,0,0
270,482058,48,132,74117.79,M,0,1
271,482057,37,132,99821.73,F,1,1
272,71386,48,214,117117.15,M,1,-1
273,1190053,22,21,127825.41,F,1,0
274,1274434,20,12,39789.93,M,1,0
275,1031245,23,36,49142.82,F,0,0
276,482055,66,132,252925.89,M,1,1
277,482082,44,132,90212.4,F,0,1
278,1160657,22,23,54449.19,M,0,0
279,1191365,21,21,100030.77,F,0,0
280,482044,36,122,507259.59,M,0,-1
281,482042,51,132,44053.23,M,1,1
282,988829,30,43,72988.98,M,0,0
283,1274150,44,12,78597.72,M,1,0
284,481987,43,132,169646.85,M,1,1
285,156554,47,186,155209.89,M,1,-1
286,481983,48,132,100030.77,M,1,1
287,482470,53,132,124649.85,F,0,1
288,1274399,21,12,60498.48,M,1,0
289,482072,51,132,80181.99,F,0,1
290,480114,36,133,83661.87,M,0,1
291,482066,45,132,144977.73,M,1,1
292,688000,52,99,107011.62,M,0,1
293,482065,40,132,169420.65,M,1,1
294,1062546,40,34,70413.96,M,1,0
295,205750,47,176,166561.29,M,1,-1
296,482502,62,100,212056.14,F,1,1
297,482476,38,132,153718.74,M,1,1
298,1058747,26,34,59474.52,M,1,0
299,1021515,38,37,104547.57,M,1,0
300,1021949,36,36,100030.77,M,1,0
301,482488,49,132,322774.2,M,0,1
302,1022006,39,36,129409.98,M,1,0
303,1021615,52,36,117376.17,M,0,0
304,482489,45,132,144792.06,F,1,1
305,1274409,21,12,48498.87,F,1,0
306,482486,42,132,220937.73,F,0,1
307,482464,49,132,172482.33,F,1,1
308,1058754,24,34,48333.75,M,0,0
309,481970,39,9,81992.94,F,0,1
310,479857,23,133,318758.04,M,0,1
311,687358,38,99,114634.62,F,1,1
312,476630,36,134,68917.17,M,0,1
313,476620,39,134,38387.22,M,1,1
314,152834,48,187,266611.8,M,1,-1
315,482073,36,132,167503.32,F,0,1
316,482100,20,132,451931.22,F,0,1
317,1074687,23,33,67897.17,M,0,0
318,478471,65,133,153976.8,F,1,1
319,476634,42,133,93357.87,F,1,1
320,1346439,42,9,67697.67,M,1,0
321,482109,47,132,215545.14,M,0,1
322,482106,55,132,100030.77,F,0,1
323,482102,24,132,451931.22,M,1,1
324,1074709,37,33,82139.52,F,0,0
325,485707,47,132,174016.92,F,1,1
326,485605,47,132,128670.0,M,0,1
327,1275286,52,12,64931.73,M,1,0
328,156540,64,185,105752.13,M,1,-1
329,482074,44,132,110343.39,F,1,1
330,482046,39,132,166342.05,F,1,1
331,996108,27,43,105621.78,M,0,0
332,1191284,21,21,54088.38,F,0,0
333,481969,84,132,199260.69,F,0,1
334,1074728,23,33,109469.4,F,0,0
335,465615,38,136,229408.92,F,1,1
336,954148,24,45,51876.93,F,0,0
337,1038607,23,35,100030.77,F,0,0
338,481966,52,132,141205.44,M,1,1
339,481988,83,132,531610.77,F,0,-1
340,479845,73,133,76324.98,F,0,1
341,482087,37,132,150337.62,F,1,1
342,71397,39,214,49272.12,M,1,-1
343,1074723,40,33,152369.52,M,1,0
344,1302471,21,10,55131.9,F,0,0
345,482095,40,132,141825.06,F,1,1
346,482097,40,132,186563.55,M,0,1
347,482045,42,132,176803.2,F,1,1
348,687625,62,99,76467.12,M,1,1
349,482053,36,132,189445.38,M,1,1
350,482052,28,132,219763.26,M,1,1
351,482048,44,132,220937.73,M,1,1
352,485837,59,131,116495.37,M,1,1
353,1084611,31,33,56000.34,F,0,0
354,486628,61,131,44840.97,M,1,1
355,486519,40,109,181861.11,F,1,1
356,485289,31,132,484043.01,F,1,-1
357,476472,40,134,117532.74,F,1,1
358,485285,38,132,142699.26,F,1,1
359,1036854,24,36,41545.53,M,0,0
360,485278,57,132,61220.04,F,1,1
361,1041153,24,35,95286.36,F,0,0
362,485410,30,132,390960.87,F,1,1
363,1036939,23,36,108311.04,M,0,0
364,485292,56,132,100030.77,M,0,1
365,1036980,48,36,66567.03,F,0,0
366,1036938,23,36,50105.49,F,1,0
367,485555,40,45,217220.07,F,1,1
368,156289,45,163,100030.77,F,1,-1
369,485318,68,132,183508.89,F,0,1
370,751107,62,89,112040.16,M,0,1
371,1036902,25,36,83390.67,M,0,0
372,1196651,24,21,47865.51,M,0,0
373,1196652,47,21,100030.77,F,1,0
374,1165076,22,23,70538.58,F,0,0
375,1041198,26,35,100030.77,F,0,0
376,485294,66,132,100030.77,M,0,1
377,485313,53,132,60408.69,F,0,1
378,486608,35,131,89747.61,M,0,1
379,476437,60,121,110934.42,F,0,1
380,486359,34,131,191644.59,F,1,1
381,476436,64,134,105109.08,M,1,1
382,486357,47,131,100716.78,M,1,1
383,476435,39,130,92724.66,M,1,1
384,1184521,21,22,56452.74,F,0,0
385,476434,47,134,82177.23,M,0,1
386,485306,42,132,139497.48,F,1,1
387,486343,58,131,174093.75,F,0,1
388,486615,93,131,394197.33,F,0,1
389,486614,42,131,156558.96,M,1,1
390,486613,80,131,401426.22,M,1,1
391,485466,77,132,868378.62,M,0,-1
392,485478,39,131,80679.45,M,0,1
393,1037105,23,36,100030.77,F,0,0
394,486637,40,131,125602.23,F,1,1
395,485548,40,132,105590.13,M,1,1
396,1070247,26,34,95977.53,F,0,0
397,1037087,23,36,147255.0,M,0,0
398,485242,46,82,129287.22,M,1,1
399,485262,58,132,135824.16,F,1,1
400,485443,48,132,117594.93,M,0,1
401,736009,23,91,112104.33,M,1,1
402,1030278,28,36,119298.81,F,0,0
403,284052,39,165,95268.21,M,1,-1
404,485439,51,132,174412.89,M,0,1
405,1312833,60,10,99978.78,M,1,0
406,1030330,24,36,168504.66,F,0,0
407,485432,55,132,161951.34,F,1,1
408,485449,43,132,32350.95,M,0,1
409,1030205,30,36,147944.85,M,0,0
410,476572,46,134,157796.82,M,1,1
411,610385,35,111,74968.89,F,1,1
412,1272512,21,12,41408.25,M,1,0
413,747225,56,89,100162.74,M,1,1
414,485414,40,130,99803.85,F,1,1
415,485451,58,132,185985.87,M,1,1
416,1272396,20,12,99978.78,M,1,0
417,1312955,34,10,53315.13,F,0,0
418,485419,23,132,338651.67,M,0,1
419,1270382,21,12,125233.56,M,1,0
420,1272459,21,12,68224.05,F,0,0
421,1367623,44,7,49306.05,M,1,0
422,1270387,21,12,178487.22,F,1,0
423,1270388,21,12,59940.78,F,1,0
424,485320,33,132,227994.3,F,0,1
425,485274,33,132,148797.0,M,1,1
426,922109,25,48,49717.65,F,0,0
427,485265,59,132,135824.16,M,1,1
428,485257,53,132,272152.56,F,0,1
429,485255,78,132,212244.33,M,1,1
430,1030348,23,36,92958.27,F,0,0
431,485248,46,125,130519.26,M,1,1
432,1041115,23,35,40536.87,F,0,0
433,485247,39,132,269971.95,M,1,1
434,485546,23,132,176904.9,F,1,1
435,485459,39,115,100030.77,F,1,1
436,953370,34,45,40666.38,M,1,0
437,1272450,21,12,323888.22,F,1,-1
438,1272451,21,12,41195.82,F,0,0
439,485411,28,96,164054.67,F,1,1
440,1074955,23,33,103450.65,F,0,0
441,486363,56,131,44889.15,M,0,1
442,1037093,25,36,82647.87,F,0,0
443,1037242,24,36,66698.7,M,0,0
444,485470,53,52,122705.7,F,1,1
445,486298,43,72,171430.35,M,1,1
446,486596,37,146,61951.05,M,1,1
447,486594,48,131,100030.77,F,0,1
448,486592,23,131,272678.34,F,0,1
449,486578,43,131,138368.37,F,1,1
450,1116831,22,30,100030.77,M,1,0
451,578075,47,116,74249.19,M,1,1
452,797399,58,82,47425.32,F,0,1
453,486618,44,131,115213.23,F,1,1
454,156802,38,186,94978.32,M,0,-1
455,486622,44,131,290947.59,F,1,1
456,1039003,36,35,100030.77,F,1,0
457,796777,67,82,106281.54,M,0,1
458,476803,20,134,126631.17,M,1,1
459,156850,69,186,93969.66,M,1,-1
460,1373098,20,7,53681.04,F,0,0
461,486655,45,90,186710.88,F,1,1
462,1086294,26,33,55649.61,M,0,0
463,1039014,37,35,100030.77,M,1,0
464,555311,50,109,131584.62,F,0,1
465,611659,75,110,100030.77,M,0,1
466,326982,46,118,86636.94,F,0,-1
467,1074700,24,33,100030.77,M,1,0
468,130486,40,195,61230.72,M,1,-1
469,486398,41,131,85468.05,F,0,1
470,486416,30,131,167131.05,F,1,1
471,1184337,47,22,59117.31,M,1,0
472,732162,41,92,115690.53,F,1,1
473,1040416,73,35,63550.8,F,0,0
474,1084377,27,33,47656.62,M,0,0
475,130411,50,195,76652.01,M,1,-1
476,1372374,21,16,100030.77,M,1,0
477,486409,40,131,67685.46,F,0,1
478,476804,23,134,126631.17,F,0,1
479,1372907,52,7,109226.16,M,0,0
480,486406,81,131,109872.84,M,1,1
481,570917,49,117,139576.5,M,0,1
482,486314,50,131,161586.12,F,1,1
483,1270540,21,12,58102.53,F,1,0
484,486412,89,131,145037.4,F,1,1
485,611645,38,110,50040.21,M,1,1
486,486654,39,131,105940.95,M,1,1
487,486648,53,131,65079.21,M,0,1
488,1037047,23,36,143304.9,M,1,0
489,175775,69,182,142772.76,F,1,-1
490,486607,54,131,143818.83,F,0,1
491,476829,44,133,139616.94,M,1,1
492,486369,46,131,72842.85,F,1,1
493,476944,59,134,263281.29,M,1,1
494,486294,60,131,142104.21,M,0,1
495,486291,18,131,88367.01,M,1,1
496,1302558,27,10,56443.77,M,1,0
497,1036713,26,36,100030.77,M,0,0
498,486341,45,131,82338.63,M,1,1
499,486375,80,131,87276.93,F,1,1
500,1036735,23,36,31777.56,F,0,0
501,486342,31,131,127705.95,F,1,1
502,1036985,23,36,31511.37,F,0,0
503,1037226,24,36,44951.22,F,0,0
504,48933,51,225,47993.13,M,1,-1
505,486371,31,131,134038.11,M,0,1
506,1256300,32,14,80464.23,M,1,0
507,920071,25,48,146693.55,M,0,0
508,1037059,23,36,100030.77,M,0,0
509,486604,33,131,123932.58,M,0,1
510,486647,31,40,372757.35,F,0,1
511,486646,32,7,60501.15,M,1,1
512,1077660,23,33,144204.39,F,0,0
513,486645,33,38,359546.22,F,0,1
514,1083242,25,33,84099.78,M,1,0
515,555453,52,43,61849.56,F,0,1
516,1192449,46,21,85537.44,M,0,0
517,156095,52,186,91942.71,M,0,-1
518,486644,60,40,372757.35,F,1,1
519,555456,52,118,100030.77,M,0,1
520,1037327,23,36,126742.89,F,0,0
521,1037214,23,36,164461.53,F,0,0
522,486597,49,131,309197.49,M,0,1
523,555412,39,117,205987.35,F,1,1
524,1074922,23,33,79043.37,F,0,0
525,610135,63,111,66579.78,F,0,1
526,156023,85,186,295249.11,F,1,-1
527,1037026,23,36,183014.16,M,0,0
528,1192428,21,21,136204.2,M,1,0
529,485457,45,132,210366.96,M,1,1
530,175603,50,182,116046.84,F,1,-1
531,1034875,22,36,100030.77,F,1,0
532,485562,43,132,51902.01,F,0,1
533,155184,50,186,144378.0,F,1,-1
534,1329739,22,9,223537.29,F,0,-1
535,1031196,23,36,100030.77,F,0,0
536,486187,50,131,121216.92,M,1,1
537,486134,51,131,273580.29,M,1,1
538,486132,50,131,100030.77,M,1,1
539,48973,54,225,91071.93,F,0,-1
540,157005,71,186,151720.17,M,0,-1
541,1031154,25,36,105422.1,M,1,0
542,486131,37,81,97457.07,M,1,1
543,486271,56,131,116501.28,M,0,1
544,486192,57,131,173797.38,M,1,1
545,486196,53,131,69845.19,M,0,1
546,175877,38,182,123242.28,M,1,-1
547,486240,67,131,209073.57,F,0,1
548,1031787,23,36,95916.72,M,0,0
549,734810,42,91,79047.6,F,1,1
550,176530,36,182,58214.64,M,1,-1
551,1191092,23,21,100030.77,F,0,0
552,176531,37,182,58214.64,M,1,-1
553,1031491,23,36,106719.3,M,0,0
554,155185,53,186,144378.0,M,0,-1
555,486266,45,131,178077.03,F,0,1
556,1312809,26,10,42480.06,M,0,0
557,486254,66,131,79742.1,F,0,1
558,1031134,23,36,75329.67,F,0,0
559,48934,48,225,30236.85,F,1,-1
560,1031148,23,36,80200.71,F,0,0
561,1031171,30,36,181951.05,F,0,0
562,486250,78,131,102531.18,M,1,1
563,1031461,22,36,100030.77,M,1,0
564,1312858,64,10,109121.49,F,1,0
565,1031151,23,36,92520.27,M,0,0
566,1347746,20,8,81848.04,F,0,0
567,475850,44,134,311814.75,M,1,1
568,486246,60,131,174140.01,M,1,1
569,1031284,38,36,60817.14,M,1,0
570,486190,62,131,173797.38,F,1,1
571,1031474,23,36,61398.3,M,0,0
572,155241,42,186,98858.61,F,1,-1
573,1031185,23,36,144033.9,M,0,0
574,486280,44,131,81047.1,M,0,1
575,611723,52,110,115366.2,F,0,1
576,486273,49,131,88367.01,M,1,1
577,1137012,61,25,155977.89,M,1,0
578,1074667,23,33,44288.07,M,1,0
579,486536,66,85,109345.02,F,1,1
580,486289,21,11,88367.01,F,1,1
581,1029693,22,36,23811.99,F,0,0
582,476922,36,134,123765.96,F,1,1
583,1030825,26,36,84317.88,M,0,0
584,486288,40,131,84629.73,M,1,1
585,486557,40,131,237853.02,F,1,1
586,486285,56,117,193292.31,F,0,1
587,486530,44,131,63164.46,F,1,1
588,1191106,26,21,100701.9,F,0,0
589,1030800,23,36,67955.58,F,0,0
590,1030771,23,36,119378.49,F,1,0
591,486506,42,131,204866.79,F,1,1
592,1030847,23,36,101522.91,F,0,0
593,1030846,22,36,232966.35,M,1,0
594,732068,67,92,216959.01,F,0,-1
595,1030868,29,36,93347.97,M,0,0
596,486560,52,131,151805.07,M,1,1
597,578631,83,116,72988.98,F,0,1
598,1029729,23,36,37640.97,F,0,0
599,485980,46,131,200759.52,M,1,1
600,1256242,34,18,100196.64,M,1,0
601,1031756,23,36,60535.47,F,0,0
602,1031753,27,36,100030.77,M,0,0
603,1031716,23,36,100030.77,F,0,0
604,1031672,26,36,40817.01,M,0,0
605,486629,64,131,446861.16,F,1,1
606,103067,55,204,64218.24,F,1,-1
607,176515,50,182,99978.78,M,1,-1
608,486053,32,131,100030.77,F,0,1
609,486533,33,131,135641.82,F,1,1
610,1029881,23,36,77225.46,M,0,0
611,1029917,22,36,42560.19,M,1,0
612,1029921,29,36,86217.45,F,0,0
613,1191140,22,21,48310.17,M,0,0
614,1366461,44,7,88314.0,M,0,0
615,154540,52,186,158542.77,M,0,-1
616,486535,90,131,109345.02,F,1,1
617,154782,75,186,231670.5,M,0,-1
618,1272487,20,12,44537.13,F,1,0
619,1047814,23,35,59023.05,F,1,0
620,1312812,36,10,110048.85,M,0,0
621,155945,59,186,170473.86,M,0,-1
622,1272546,21,12,37711.29,F,1,0
623,100982,54,205,47040.75,M,1,-1
624,71849,53,170,240600.6,M,0,-1
625,485596,40,131,109956.66,F,1,1
626,485583,79,132,236474.34,F,1,1
627,1312841,59,10,99978.78,F,1,0
628,1272696,21,12,34067.22,F,0,0
629,1030578,23,36,162973.23,M,1,0
630,1030491,23,36,90855.18,M,1,0
631,1030527,23,36,145487.52,M,0,0
632,486643,61,40,372757.35,M,1,1
633,482496,33,132,74237.58,F,0,1
634,1030555,23,36,100030.77,F,0,0
635,1272681,21,12,99978.78,F,1,0
636,1192435,22,21,100030.77,F,0,0
637,1312806,34,10,36046.56,M,0,0
638,1030554,23,36,56064.72,F,0,0
639,1030552,25,36,100030.77,M,0,0
640,739388,24,91,100030.77,M,1,1
641,1030544,23,36,97368.27,M,0,0
642,154813,54,186,79161.99,F,1,-1
643,1029248,24,36,134079.72,F,1,0
644,485566,51,132,427031.25,F,0,1
645,734787,34,92,199875.0,F,0,-1
646,485512,54,132,31730.88,F,0,1
647,1034359,26,36,42155.58,F,0,0
648,485539,44,132,111396.06,F,1,1
649,1034531,22,36,89831.22,F,0,0
650,543544,91,120,180172.74,F,1,1
651,543542,66,120,72848.76,M,0,1
652,485598,65,132,87281.13,M,1,1
653,1034525,22,36,111933.36,F,1,0
654,1272712,32,12,149152.11,F,1,0
655,485538,41,132,74469.6,M,1,1
656,485536,48,132,438964.59,M,1,1
657,1030473,23,36,44592.63,M,0,0
658,725483,73,93,106333.68,M,1,1
659,485519,47,132,129009.48,M,0,1
660,485517,60,132,139462.95,F,1,1
661,735057,58,92,82886.04,M,1,1
662,1030301,22,36,371930.85,F,1,-1
663,486197,44,131,135606.87,M,1,1
664,1030645,23,36,53223.87,M,0,0
665,486282,57,131,193292.31,M,0,1
666,486002,39,131,100030.77,F,1,1
667,1194304,33,21,170507.43,M,1,0
668,1069826,22,34,68394.9,F,1,0
669,486001,69,131,100030.77,F,1,1
670,486000,69,131,100030.77,M,1,1
671,485989,39,131,64982.94,M,0,1
672,485999,83,131,273040.02,M,1,1
673,1274585,22,12,89152.23,M,0,0
674,476413,23,134,89630.22,F,0,1
675,1063104,23,34,100030.77,F,1,0
676,93506,47,207,164066.79,F,1,-1
677,485997,52,131,318751.8,F,1,1
678,751197,73,89,114354.96,F,0,1
679,485993,44,131,149537.22,F,0,1
680,485990,40,131,64982.94,F,1,1
